Age,Gender,Education,Department,JobRole,Shift,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,MonthlyIncome,HourlyRate,OverTime,DistanceFromHome,PerformanceRating,TrainingTimesLastYear,Attrition
63,Male,3,Support,Janitor,Rotating,18.6,11.3,4,1,1,4,4044.37,25.28,No,1.8,3,2,Yes
25,Male,1,Nursing,Head Nurse,Day,4.7,3.7,2,3,3,3,6735.37,42.1,No,12.3,3,3,No
50,Male,5,Support,Janitor,Night,7.6,2.5,4,2,3,2,2565.4,16.03,Yes,1.5,4,0,No
39,Male,2,Nursing,Nurse,Day,3.0,1.4,1,2,1,4,6110.44,38.19,No,9.7,3,2,Yes
47,Male,5,Support,Maintenance,Night,3.8,2.8,1,4,3,4,4067.89,25.42,No,20.3,4,1,No
65,Male,3,Doctors,Resident,Rotating,2.8,2.5,3,1,2,1,5403.95,33.77,Yes,1.0,4,3,No
55,Female,5,Admin,Receptionist,Day,6.1,3.4,3,1,4,4,4203.96,26.27,Yes,1.0,3,1,Yes
31,Female,3,Doctors,Resident,Rotating,9.5,4.6,1,2,2,4,8897.61,55.61,No,45.9,3,0,No
57,Female,5,Nursing,Nurse Practitioner,Day,3.5,2.3,2,3,1,4,8972.12,56.08,No,11.2,3,4,No
35,Female,1,Nursing,Head Nurse,Day,3.3,2.4,1,2,3,2,7375.43,46.1,No,1.5,4,0,Yes
52,Male,4,Nursing,Nurse,Day,2.1,1.2,3,3,3,2,4259.33,26.62,Yes,3.7,1,3,Yes
36,Male,5,Nursing,Clinical Nurse,Rotating,1.0,0.9,4,2,2,4,4387.34,27.42,No,42.0,3,1,No
29,Female,2,Nursing,Head Nurse,Day,14.0,9.3,3,3,2,1,9179.18,57.37,No,2.6,4,1,Yes
35,Female,1,Technical,Pharmacy Tech,Night,1.9,0.6,2,2,1,3,5656.43,35.35,No,14.0,3,0,No
44,Male,3,Doctors,Resident,Day,8.1,3.7,4,4,2,3,7973.34,49.83,No,2.8,3,3,Yes
61,Female,5,Nursing,Nurse,Day,6.3,3.9,3,3,1,3,4510.25,28.19,No,5.1,3,1,Yes
42,Female,3,Technical,Radiology Tech,Rotating,7.8,6.2,4,3,3,2,6010.98,37.57,Yes,21.3,3,1,Yes
37,Female,3,Doctors,Resident,Day,13.8,6.3,3,3,4,4,8217.1,51.36,Yes,1.0,3,2,No
39,Male,2,Support,Maintenance,Day,4.9,4.8,4,3,3,2,3663.39,22.9,No,3.7,3,3,No
45,Female,1,Doctors,Surgeon,Day,11.4,6.0,4,2,1,3,18485.19,115.53,No,6.7,3,0,No
47,Female,4,Nursing,Nurse Practitioner,Night,0.9,0.6,3,3,4,3,8455.1,52.84,No,9.8,3,2,Yes
46,Female,1,Admin,Receptionist,Night,4.9,1.5,2,3,2,2,3849.81,24.06,No,1.0,4,4,Yes
62,Female,3,Doctors,Resident,Day,7.4,6.8,3,2,1,2,6134.79,38.34,No,5.3,2,3,Yes
50,Female,5,Nursing,Nurse Practitioner,Day,1.6,1.4,3,1,3,4,7142.76,44.64,No,4.2,2,2,No
36,Female,2,Nursing,Nurse Practitioner,Day,6.7,2.9,3,1,2,3,7911.91,49.45,No,1.0,3,1,No
22,Male,3,Nursing,Head Nurse,Day,7.5,7.2,2,2,2,3,9498.51,59.37,Yes,4.4,4,2,No
46,Female,1,Nursing,Nurse Practitioner,Rotating,8.9,4.6,2,1,1,4,8865.22,55.41,No,26.8,3,3,Yes
28,Female,3,Admin,Receptionist,Rotating,1.9,1.5,3,4,2,1,3315.78,20.72,Yes,3.2,3,0,Yes
30,Female,2,Admin,HR Specialist,Night,5.7,5.0,4,1,1,3,6475.81,40.47,No,8.8,4,0,Yes
45,Male,4,Nursing,Clinical Nurse,Day,1.8,1.5,3,2,3,2,5107.45,31.92,No,3.5,4,0,Yes
22,Male,2,Doctors,Resident,Night,6.7,6.3,1,3,2,3,5804.03,36.28,No,1.1,3,2,Yes
65,Female,3,Doctors,Surgeon,Rotating,3.1,2.8,2,4,2,1,21550.27,134.69,No,3.4,3,6,No
29,Female,3,Nursing,Nurse,Night,4.6,4.5,1,2,1,4,5565.68,34.79,Yes,6.4,4,1,No
45,Female,2,Nursing,Head Nurse,Rotating,2.7,1.1,1,2,4,3,6371.84,39.82,No,3.5,3,0,Yes
32,Female,4,Nursing,Nurse,Night,0.9,0.5,2,2,2,2,3744.28,23.4,No,9.8,3,4,Yes
38,Female,2,Admin,Receptionist,Night,1.0,0.7,3,2,2,2,3464.65,21.65,Yes,29.8,4,3,Yes
29,Female,3,Nursing,Clinical Nurse,Day,0.4,0.3,4,2,3,1,5805.06,36.28,No,1.0,3,2,No
56,Female,2,Admin,Admin Staff,Night,4.8,3.2,2,2,1,4,3119.51,19.5,No,12.6,1,5,No
56,Female,3,Doctors,Doctor,Day,9.4,3.3,3,1,2,1,16356.93,102.23,No,1.0,2,4,Yes
54,Female,2,Admin,Receptionist,Rotating,0.1,0.1,3,4,3,3,3816.41,23.85,No,1.0,4,4,No
26,Male,3,Nursing,Clinical Nurse,Rotating,0.3,0.3,4,1,2,2,4477.44,27.98,No,1.4,1,1,Yes
63,Female,2,Nursing,Nurse Practitioner,Rotating,3.1,1.8,4,2,1,4,8441.42,52.76,Yes,6.5,4,1,Yes
60,Female,4,Doctors,Resident,Night,6.7,3.1,1,4,2,3,7812.49,48.83,No,1.0,3,3,Yes
62,Male,2,Technical,Medical Tech,Day,0.9,0.3,2,3,2,1,4467.57,27.92,Yes,12.8,3,2,Yes
49,Male,4,Technical,Pharmacy Tech,Day,1.6,0.7,1,2,4,3,5458.7,34.12,No,1.0,3,4,Yes
28,Male,4,Doctors,Doctor,Night,1.3,1.0,3,1,2,4,15199.44,95.0,Yes,6.8,3,1,Yes
30,Male,2,Admin,HR Specialist,Rotating,2.5,2.4,3,4,1,3,6343.78,39.65,Yes,11.3,1,3,Yes
29,Male,3,Admin,Office Manager,Night,1.3,0.5,2,1,4,3,5242.27,32.76,Yes,2.7,2,1,No
33,Male,1,Technical,Medical Tech,Day,2.2,1.5,4,3,2,2,6021.0,37.63,No,8.7,3,0,Yes
55,Female,3,Nursing,Head Nurse,Rotating,6.5,5.1,2,4,2,1,7396.59,46.23,No,3.0,3,0,Yes
54,Female,4,Support,Security,Rotating,4.7,2.3,4,1,3,2,3268.31,20.43,No,2.4,3,2,Yes
44,Male,3,Doctors,Specialist,Day,0.4,0.3,1,3,3,3,13372.05,83.58,No,17.1,2,2,Yes
45,Male,3,Doctors,Resident,Night,5.1,4.1,1,4,3,4,8291.24,51.82,No,4.0,3,4,No
58,Female,2,Nursing,Nurse Practitioner,Rotating,3.2,2.9,2,3,1,4,8093.65,50.59,Yes,16.8,3,2,Yes
56,Male,3,Doctors,Surgeon,Night,13.6,8.4,1,2,4,4,28242.57,176.52,No,2.4,2,2,Yes
65,Female,2,Admin,Receptionist,Rotating,1.7,1.4,3,4,1,1,2729.45,17.06,No,4.4,2,1,Yes
61,Female,4,Nursing,Clinical Nurse,Day,6.5,3.3,1,3,2,4,6683.94,41.77,Yes,1.1,3,2,Yes
43,Female,3,Nursing,Nurse,Night,6.6,2.9,3,3,1,3,4352.53,27.2,No,6.9,3,4,Yes
48,Male,4,Support,Janitor,Night,1.3,0.5,1,3,3,3,2072.58,12.95,No,4.8,3,2,Yes
56,Female,2,Admin,Office Manager,Rotating,11.7,6.4,2,1,3,3,8802.98,55.02,No,1.0,3,1,Yes
22,Male,2,Admin,Receptionist,Rotating,3.4,1.1,4,2,3,1,2679.92,16.75,No,6.3,4,2,No
56,Female,2,Nursing,Head Nurse,Rotating,5.7,2.8,4,1,3,1,7461.09,46.63,No,1.0,4,2,No
58,Female,1,Technical,Radiology Tech,Night,0.8,0.6,2,1,1,3,6923.01,43.27,Yes,18.1,3,1,Yes
35,Male,2,Technical,Lab Technician,Rotating,1.5,1.1,4,1,2,2,4983.02,31.14,No,6.8,3,3,Yes
24,Male,4,Doctors,Specialist,Day,4.4,1.6,3,2,3,3,16904.13,105.65,No,11.7,4,2,Yes
22,Male,4,Admin,HR Specialist,Day,1.9,1.0,2,1,2,2,5739.49,35.87,Yes,17.2,4,1,Yes
26,Female,3,Admin,HR Specialist,Day,3.5,2.4,4,4,1,4,5960.3,37.25,Yes,1.0,3,1,Yes
47,Male,3,Doctors,Resident,Rotating,2.3,1.2,2,3,4,4,5369.75,33.56,No,4.1,4,2,No
35,Female,1,Nursing,Nurse Practitioner,Rotating,5.1,3.0,2,3,3,4,7791.62,48.7,Yes,1.0,3,1,Yes
60,Male,4,Support,Food Service,Day,3.3,2.7,3,3,2,4,2839.09,17.74,No,1.0,3,3,Yes
48,Female,1,Doctors,Surgeon,Day,0.0,0.0,2,2,3,4,17811.38,111.32,Yes,1.0,3,3,No
30,Female,5,Nursing,Nurse Practitioner,Rotating,5.2,2.6,1,2,3,3,7764.28,48.53,No,6.5,3,0,Yes
36,Female,3,Admin,Receptionist,Night,2.7,1.1,1,3,1,4,2929.55,18.31,No,6.0,3,2,Yes
36,Female,2,Technical,Pharmacy Tech,Rotating,2.1,0.8,3,3,2,3,4582.16,28.64,No,1.0,2,1,No
47,Male,5,Nursing,Clinical Nurse,Day,0.5,0.5,3,1,2,4,4996.99,31.23,No,3.0,4,0,No
63,Male,1,Nursing,Head Nurse,Day,1.2,0.7,2,3,1,1,6952.34,43.45,No,2.8,4,2,Yes
34,Female,3,Doctors,Doctor,Night,1.3,0.8,4,3,2,3,10910.76,68.19,No,3.5,2,3,No
53,Male,3,Nursing,Nurse Practitioner,Day,13.7,11.1,2,3,4,4,11409.44,71.31,No,10.2,3,3,No
60,Male,2,Technical,Radiology Tech,Day,2.8,0.9,3,2,2,3,7150.2,44.69,No,11.9,2,1,No
53,Male,3,Nursing,Nurse,Day,0.2,0.1,4,3,4,2,4176.24,26.1,No,4.1,3,0,Yes
25,Male,3,Technical,Medical Tech,Day,0.7,0.7,4,3,1,3,4197.73,26.24,No,15.5,4,0,No
51,Male,4,Nursing,Head Nurse,Day,0.4,0.4,3,2,1,3,7609.65,47.56,No,5.4,3,2,Yes
58,Female,1,Nursing,Clinical Nurse,Rotating,4.4,2.5,3,2,4,4,6871.53,42.95,No,7.4,3,0,Yes
44,Male,5,Support,Security,Day,1.0,0.6,2,1,2,3,2670.28,16.69,No,1.6,4,2,No
60,Female,2,Doctors,Resident,Day,3.5,2.9,3,2,4,2,5177.63,32.36,Yes,2.7,4,0,No
36,Male,2,Admin,HR Specialist,Rotating,2.3,1.2,2,1,1,4,4664.61,29.15,No,13.0,3,3,Yes
64,Female,2,Nursing,Clinical Nurse,Night,8.1,3.1,2,2,4,4,6642.47,41.52,No,37.7,4,4,Yes
50,Male,1,Doctors,Doctor,Night,1.9,0.9,2,2,2,2,15983.28,99.9,No,12.2,4,1,Yes
57,Female,2,Admin,HR Specialist,Night,3.1,1.8,1,2,1,4,6236.14,38.98,Yes,1.0,3,1,No
34,Female,5,Support,Janitor,Rotating,6.4,2.1,3,2,3,2,3063.32,19.15,No,1.5,1,2,Yes
53,Male,2,Support,Food Service,Rotating,2.8,1.8,4,3,3,2,3403.71,21.27,Yes,5.9,3,3,Yes
28,Female,2,Doctors,Doctor,Night,7.9,6.4,1,4,1,4,12715.38,79.47,No,13.2,4,1,No
43,Female,2,Admin,HR Specialist,Rotating,5.4,3.6,1,2,4,4,6341.45,39.63,No,1.8,3,2,No
49,Female,4,Admin,Admin Staff,Night,2.6,0.9,2,2,3,2,3540.25,22.13,No,13.9,2,2,No
23,Female,4,Doctors,Surgeon,Day,3.5,2.1,3,4,2,1,17551.8,109.7,No,8.1,3,3,No
63,Male,2,Nursing,Clinical Nurse,Rotating,17.1,13.6,1,3,1,2,6160.47,38.5,No,14.9,1,1,Yes
27,Female,1,Nursing,Nurse Practitioner,Night,5.4,1.8,1,2,2,4,9425.69,58.91,Yes,8.2,4,2,Yes
49,Male,2,Nursing,Nurse,Rotating,11.8,4.0,3,3,2,4,6579.97,41.12,No,9.2,2,2,Yes
49,Male,1,Nursing,Nurse Practitioner,Day,1.0,0.6,4,2,2,3,8342.89,52.14,Yes,2.9,4,3,Yes
65,Female,2,Nursing,Nurse,Day,3.3,1.4,1,3,3,2,3990.82,24.94,No,12.7,3,4,Yes
65,Male,3,Admin,HR Specialist,Rotating,12.0,11.4,2,4,3,2,5075.04,31.72,No,18.6,4,1,Yes
41,Female,2,Technical,Lab Technician,Day,1.9,1.4,3,2,2,4,3775.9,23.6,No,20.5,3,1,No
51,Female,3,Admin,Receptionist,Rotating,17.2,8.6,1,4,1,2,3800.74,23.75,No,1.0,1,2,Yes
32,Female,2,Nursing,Nurse,Rotating,0.5,0.4,2,2,4,3,4556.91,28.48,No,9.8,4,0,Yes
49,Female,5,Nursing,Nurse Practitioner,Rotating,11.6,6.6,3,3,2,3,7749.32,48.43,Yes,45.6,3,1,Yes
46,Male,5,Doctors,Specialist,Night,2.9,1.2,4,2,2,2,18466.13,115.41,No,8.8,3,1,Yes
60,Male,3,Nursing,Head Nurse,Night,0.4,0.2,2,3,3,2,7569.92,47.31,No,1.9,4,1,No
54,Male,3,Doctors,Resident,Rotating,10.6,7.9,3,1,3,2,7075.95,44.22,No,21.0,3,2,No
22,Male,3,Support,Maintenance,Rotating,1.5,0.5,2,3,4,3,3338.68,20.87,No,3.1,4,4,Yes
48,Male,3,Nursing,Nurse,Night,0.1,0.1,4,3,4,4,3835.67,23.97,No,1.0,3,5,Yes
34,Male,4,Nursing,Nurse Practitioner,Rotating,0.7,0.3,1,2,4,3,7667.37,47.92,Yes,5.6,4,2,Yes
62,Female,3,Admin,HR Specialist,Night,5.4,2.4,3,1,2,1,6805.13,42.53,Yes,1.1,2,4,No
24,Female,4,Support,Maintenance,Rotating,19.0,14.8,4,2,1,3,4682.26,29.26,No,1.2,4,0,No
60,Male,5,Technical,Radiology Tech,Day,0.6,0.5,4,3,3,1,4741.22,29.63,No,6.2,2,2,Yes
27,Female,2,Support,Security,Day,3.1,2.5,3,4,1,1,4158.85,25.99,Yes,9.5,3,4,No
29,Male,3,Nursing,Nurse Practitioner,Night,1.0,0.7,2,2,1,3,8723.0,54.52,No,23.6,4,2,Yes
48,Male,1,Support,Janitor,Day,6.8,6.4,2,3,1,4,2917.04,18.23,Yes,12.2,2,2,Yes
30,Female,2,Nursing,Nurse Practitioner,Rotating,0.6,0.2,2,2,1,4,8703.32,54.4,No,18.5,3,0,No
58,Female,3,Nursing,Clinical Nurse,Day,1.4,0.6,3,2,2,4,4553.59,28.46,No,5.3,3,2,Yes
54,Female,2,Technical,Medical Tech,Rotating,1.1,0.6,3,2,2,3,5274.02,32.96,Yes,3.8,4,2,No
63,Male,4,Support,Security,Day,4.0,2.3,4,3,2,4,3834.04,23.96,Yes,9.0,3,2,No
65,Female,2,Nursing,Nurse Practitioner,Day,10.3,6.1,2,4,4,4,11436.48,71.48,No,11.9,2,4,Yes
45,Female,3,Nursing,Nurse Practitioner,Day,3.6,1.6,3,4,3,3,6698.14,41.86,No,8.4,4,5,No
36,Female,3,Nursing,Head Nurse,Night,0.3,0.1,4,2,4,2,6456.56,40.35,No,3.1,3,3,Yes
53,Female,3,Nursing,Nurse,Day,4.1,2.7,4,3,2,1,6180.85,38.63,Yes,4.6,4,2,No
53,Female,3,Nursing,Head Nurse,Day,8.0,7.6,3,1,2,3,6849.22,42.81,No,5.9,3,1,Yes
45,Female,4,Support,Security,Night,0.7,0.4,3,2,1,4,3915.85,24.47,No,1.0,3,2,Yes
62,Female,3,Doctors,Resident,Day,0.4,0.1,3,1,3,3,4841.09,30.26,Yes,21.2,3,2,Yes
33,Female,3,Technical,Pharmacy Tech,Day,1.0,0.8,1,2,4,2,3734.34,23.34,No,7.2,3,1,Yes
60,Female,1,Technical,Medical Tech,Rotating,6.9,3.5,1,3,1,3,5260.45,32.88,No,13.9,4,3,No
23,Male,3,Admin,HR Specialist,Day,4.5,2.1,3,3,4,3,6451.63,40.32,Yes,1.9,2,1,No
24,Female,4,Technical,Pharmacy Tech,Day,3.9,2.0,1,4,3,4,4132.57,25.83,No,8.1,2,2,Yes
58,Male,3,Doctors,Surgeon,Day,1.4,1.2,3,2,1,2,18357.83,114.74,No,26.1,3,1,No
38,Male,4,Nursing,Head Nurse,Day,2.0,1.8,3,2,3,3,5854.51,36.59,Yes,2.4,3,3,No
23,Female,3,Doctors,Doctor,Night,16.9,12.0,3,2,3,3,14637.64,91.49,No,4.2,3,2,No
23,Female,2,Admin,Office Manager,Day,1.4,0.7,1,2,1,4,5942.42,37.14,No,4.9,3,2,Yes
49,Female,1,Technical,Medical Tech,Rotating,11.6,6.0,1,4,2,3,5674.13,35.46,No,4.8,4,2,Yes
44,Male,2,Support,Security,Rotating,4.3,1.7,1,2,3,4,3150.92,19.69,No,9.2,1,4,Yes
58,Female,3,Admin,Admin Staff,Day,0.7,0.6,1,4,3,1,3534.53,22.09,No,5.0,4,1,Yes
53,Male,4,Technical,Radiology Tech,Rotating,3.1,2.4,4,2,2,1,6726.45,42.04,No,11.2,4,1,Yes
54,Female,2,Nursing,Head Nurse,Day,14.8,4.7,2,2,4,2,7246.17,45.29,Yes,6.6,3,2,No
22,Female,3,Technical,Radiology Tech,Day,2.7,2.1,2,1,2,3,6029.0,37.68,No,1.7,1,1,Yes
40,Female,3,Admin,Admin Staff,Day,10.0,6.1,1,4,2,3,3933.83,24.59,No,29.7,3,2,No
23,Female,3,Nursing,Nurse Practitioner,Day,1.5,1.5,3,1,2,2,7639.67,47.75,No,2.7,4,2,Yes
65,Female,2,Admin,Admin Staff,Night,4.2,3.7,3,4,4,3,4596.28,28.73,No,8.3,4,2,Yes
47,Female,2,Doctors,Surgeon,Day,9.3,3.9,1,2,3,3,26995.4,168.72,No,1.0,4,3,No
53,Male,2,Nursing,Nurse Practitioner,Rotating,12.7,10.2,4,2,3,3,8662.71,54.14,No,25.1,4,1,No
27,Female,1,Support,Security,Night,3.3,2.1,4,3,4,1,3805.29,23.78,No,26.3,2,3,No
53,Female,2,Nursing,Nurse,Day,5.1,2.2,2,1,3,4,5645.42,35.28,Yes,4.5,3,3,Yes
25,Female,1,Support,Janitor,Night,0.0,0.0,3,1,1,3,3054.02,19.09,Yes,1.3,4,3,Yes
32,Male,3,Technical,Pharmacy Tech,Rotating,1.5,1.0,2,4,3,2,5787.03,36.17,No,14.7,3,3,Yes
38,Female,2,Nursing,Nurse,Day,1.6,0.5,2,2,3,3,4805.0,30.03,Yes,3.0,3,1,Yes
59,Male,5,Admin,HR Specialist,Day,0.5,0.4,4,3,2,2,6519.81,40.75,Yes,12.1,3,1,Yes
45,Female,2,Technical,Pharmacy Tech,Night,1.6,1.2,1,1,2,3,5974.14,37.34,Yes,24.7,1,0,No
26,Female,2,Doctors,Resident,Night,1.9,0.8,2,1,3,2,6564.16,41.03,Yes,8.9,2,0,No
55,Female,3,Doctors,Surgeon,Night,17.3,9.4,2,2,2,4,25960.62,162.25,No,19.7,1,1,Yes
27,Female,1,Admin,Office Manager,Day,5.5,3.9,2,3,1,4,6925.07,43.28,No,2.5,3,2,No
43,Male,4,Admin,Receptionist,Night,2.8,1.1,4,3,3,2,3125.08,19.53,Yes,24.1,3,0,Yes
32,Male,1,Support,Food Service,Night,22.1,19.9,2,3,4,1,4568.96,28.56,Yes,2.6,3,2,No
37,Female,5,Nursing,Head Nurse,Night,0.8,0.3,1,3,1,2,6985.72,43.66,Yes,2.6,4,2,No
54,Female,4,Admin,Admin Staff,Day,3.2,1.2,3,1,2,3,3047.0,19.04,No,21.2,4,3,Yes
30,Male,3,Nursing,Head Nurse,Night,5.2,2.0,1,1,3,2,8801.56,55.01,No,8.1,2,2,Yes
27,Female,3,Technical,Lab Technician,Day,0.3,0.2,1,1,3,4,5109.95,31.94,Yes,16.1,2,2,Yes
37,Female,3,Technical,Lab Technician,Night,6.3,4.6,2,3,4,3,3663.02,22.89,No,16.2,3,1,No
